fold_idx,repeat_idx,auroc_a,auroc_b,auprc_a,auprc_b,brier_a,brier_b,delta_auroc,delta_auprc,delta_brier,global_seed,phase_seed,cv_seed,band_center,band_width
0,0,0.561500,0.570900,0.554020,0.555998,0.245696,0.247567,-0.009400,-0.001978,0.001871,137,271828,161803,0.095238,0.010000
1,0,0.596800,0.614600,0.541707,0.593529,0.240810,0.237611,-0.017800,-0.051822,-0.003198,137,271828,161803,0.095238,0.010000
2,0,0.606200,0.556600,0.598620,0.521540,0.241772,0.249064,0.049600,0.077081,0.007292,137,271828,161803,0.095238,0.010000
3,0,0.582400,0.537700,0.571259,0.533473,0.246146,0.252255,0.044700,0.037786,0.006108,137,271828,161803,0.095238,0.010000
4,0,0.619600,0.620800,0.636062,0.600636,0.238207,0.239768,-0.001200,0.035426,0.001561,137,271828,161803,0.095238,0.010000
0,1,0.573500,0.601000,0.520303,0.544781,0.244865,0.241871,-0.027500,-0.024478,-0.002995,137,271828,161803,0.095238,0.010000
1,1,0.555400,0.568200,0.532568,0.552407,0.246469,0.247375,-0.012800,-0.019839,0.000906,137,271828,161803,0.095238,0.010000
2,1,0.579500,0.569000,0.600834,0.572804,0.243752,0.245648,0.010500,0.028030,0.001896,137,271828,161803,0.095238,0.010000
3,1,0.630000,0.619300,0.614644,0.587198,0.238800,0.238824,0.010700,0.027446,0.000025,137,271828,161803,0.095238,0.010000
4,1,0.604600,0.615400,0.594993,0.595492,0.241611,0.240467,-0.010800,-0.000499,-0.001144,137,271828,161803,0.095238,0.010000
0,2,0.569600,0.570300,0.561629,0.554712,0.246353,0.244190,-0.000700,0.006917,-0.002163,137,271828,161803,0.095238,0.010000
1,2,0.566800,0.548800,0.566912,0.549523,0.253059,0.251509,0.018000,0.017390,-0.001550,137,271828,161803,0.095238,0.010000
2,2,0.611400,0.580400,0.588353,0.546787,0.240085,0.247170,0.031000,0.041566,0.007086,137,271828,161803,0.095238,0.010000
3,2,0.618700,0.622400,0.578009,0.565461,0.237913,0.240413,-0.003700,0.012547,0.002500,137,271828,161803,0.095238,0.010000
4,2,0.595600,0.589200,0.567006,0.561877,0.243415,0.245294,0.006400,0.005129,0.001880,137,271828,161803,0.095238,0.010000
0,3,0.654000,0.660300,0.629991,0.614032,0.233542,0.235014,-0.006300,0.015958,0.001472,137,271828,161803,0.095238,0.010000
1,3,0.588600,0.566100,0.554751,0.528593,0.243122,0.249959,0.022500,0.026158,0.006837,137,271828,161803,0.095238,0.010000
2,3,0.562600,0.602500,0.546217,0.598086,0.250935,0.241927,-0.039900,-0.051868,-0.009008,137,271828,161803,0.095238,0.010000
3,3,0.549000,0.516500,0.573053,0.542668,0.249514,0.253236,0.032500,0.030386,0.003722,137,271828,161803,0.095238,0.010000
4,3,0.591000,0.620600,0.583158,0.585380,0.243344,0.239848,-0.029600,-0.002222,-0.003496,137,271828,161803,0.095238,0.010000
0,4,0.514300,0.539900,0.502882,0.507701,0.260262,0.257768,-0.025600,-0.004818,-0.002494,137,271828,161803,0.095238,0.010000
1,4,0.641900,0.625000,0.659845,0.621249,0.234350,0.236945,0.016900,0.038596,0.002595,137,271828,161803,0.095238,0.010000
2,4,0.564900,0.551800,0.539545,0.523171,0.248420,0.251296,0.013100,0.016375,0.002876,137,271828,161803,0.095238,0.010000
3,4,0.582900,0.596500,0.572881,0.607585,0.244516,0.241468,-0.013600,-0.034705,-0.003049,137,271828,161803,0.095238,0.010000
4,4,0.626600,0.621800,0.612201,0.593857,0.237304,0.238592,0.004800,0.018344,0.001288,137,271828,161803,0.095238,0.010000
